Artist_ID,Artist_Name,Password,Total_Song_Made,Company_ID
1,Lilyan,oDUq1ZXYkVh,3,7
2,Ursala,Q3QbSNR0X7R,16,29
3,Malina,7FMooIpYbowT,15,26
4,Butch,rSLBl3ybS1M,27,17
5,Christina,QEGM4vxx,94,29
6,Cyndia,MAF0jRUy7,65,11
7,Krishnah,z1WlR0DMjOaN,4,6
8,Aloisia,ESxXCieblek2,47,18
9,Angie,qsl6hPb,51,19
10,Marty,yTiSZBtDO,27,2
11,Dunn,hfhDecb,37,13
12,Marc,135NnKl4,45,31
13,Latrina,xcFsUoU,26,3
14,Gearalt,I7FEbuYHD,55,7
15,Vasilis,IlaM289E98k,94,18
16,Webb,gWhqYNkq,77,35
17,Wood,O3zAjCRlRHhY,86,20
18,Constantine,aoHyCL4,19,23
19,Veronika,tScdOLpBqw,81,9
20,Tracie,e3Wx4X,13,3
21,Darda,tf6WoOiQ7,95,26
22,Ainslie,3zZWZF,47,24
23,Michel,7MveFY,87,23
24,Garwood,daEGt7NYbcsD,92,33
25,Rustie,ti5N4c2W,27,22
26,Melonie,uvknxMky,50,7
27,Eddy,YFsrCLG,52,35
28,Juditha,1NxSm3LidUrC,27,12
29,Malory,HUhwd3wweJ1B,22,2
30,Jackson,EXmBHvyIT0Q,50,30
31,Adeline,9frxeEs,10,3
32,Pinchas,3vqBJGJA,69,33
33,Archer,yZiq18nTl3r,46,1
34,Gerard,RBi6q8tNtAPE,71,7
35,Paule,6vpZGbr0V,98,22
36,Ann,ALu3i7,21,20
37,Patricio,HCUUFnJTtTw,17,3
38,Petrina,bp4qe95k,11,36
39,Casar,Gjq5mXWbe,69,5
40,Kele,wrUeee,67,26
41,Jasmina,slB1R27IAkJN,88,31
42,Dietrich,1kPAMbcnMoJd,56,7
43,Tomaso,hRs3Z9cvV,63,27
44,Auroora,kTghnA3f,20,5
45,Gannie,rUWIoXri7,47,7
46,Raddy,CzMqOFprq,29,33
47,Clarence,LeQInZ,10,23
48,Udale,GDTPm26kvVB,9,33
49,Ambros,Bn2EaZs8,84,29
50,Sherry,yZjEzQsPlueM,69,16
51,Roland,TOffjzID3M07,81,12
52,Elroy,pefYO0s,19,4
53,Marcellus,0gqY5F,62,13
54,Findley,eYrkcG6,76,4
55,Brandea,ruyg8PL2YxD,7,20
56,Danit,QUMnb30UrqA,70,1
57,Worthy,GtIfr2pf,66,6
58,Alla,N9WWFjk4,84,12
59,Rogerio,cfUP5PDv1cod,96,36
60,Joellen,XuHOzaIadbZ,86,23
61,Kain,Fm19lhqxm,87,11
62,Erda,6t7S2BCI,15,1
63,Lorelei,ivHzpa8s,18,30
64,Desiree,MI75zG,3,26
65,Chantal,COSMChOc,75,9
66,Davidde,2k6tdbDH,90,18
67,Alvina,lnSoAQS,1,25
68,Petronella,uaBT4t,40,15
69,Alvin,Z9vKfX,96,13
70,Juliette,rnFmN2qx1hK,33,22
71,Albrecht,KdCIUuekGoCq,26,5
72,Cynthia,K4M6gsl,74,29
73,Don,LETW63,2,14
74,Lindon,b4ocVgCzJQX,12,14
75,Dewitt,UCSwulnaPeY,58,12
76,Jesse,TwwamN,71,19
77,Rorie,P0pA3WLAz,78,11
78,Kirby,QSk1Dl,51,25
79,Yancy,O4Ijtd,51,3
80,Rooney,QIMC2jU9,47,33
81,Bronny,ry0Bl9kilijF,48,23
82,Mohandis,avOKyK9PX,55,16
83,Erroll,yJRsymLAnrKt,64,14
84,Jakob,rncl4QN9K,51,5
85,Gil,CWQSlJjXFzJB,29,17
86,Buffy,zwZBWo2R,30,12
87,Selle,g710ZK,84,16
88,Brandi,kgeB1CiK,61,24
89,Amy,LCyuxcBrLfv,80,30
90,Alric,u6jCCmJJ,72,13
91,Nat,oEtrScTqZJ,15,36
92,Wes,6yU8cUrfljUf,3,34
93,Sandro,V2SLHZMMntN7,97,10
94,Eadmund,S1LJpuJ29EvZ,46,3
95,Loni,bOrzBgOFag,81,16
96,Tamqrah,KNYaXh,72,36
97,Bessie,wvj1Wa,54,14
98,Valry,kCiX1H7a,38,25
99,Benjie,yxrnGZB,72,35
100,Reggi,kzRU8JLvBjAG,73,4
101,Eal,ishATMxSN,58,35
102,Fanchette,cV7bN8qlAt,10,32
103,Bronnie,3qZNR8Ol,46,22
104,Leigha,7i7ufwLXrAG,21,17
105,Millicent,deOzXmBCymFJ,69,6
106,Isis,OGTPbwlghO,90,15
107,Nikita,EZZn6sQ,99,21
108,Karylin,RmU18tEaoHo,91,2
